price,lat,long,Bathroom,Bedroom,sqft,land
55000000,6.8883219,79.9187415,3,3,3000.0 sqft,10.5 perches
76500000,6.8763201,79.9353613,3,4,3500.0 sqft,8.0 perches
43600000,6.8430139,79.9655312,3,4,1600.0 sqft,7.0 perches
79000000,6.8763201,79.9353613,4,4,3800.0 sqft,10.0 perches
88000000,6.8763201,79.9353613,4,4,4516.0 sqft,9.8 perches
88000000,6.9021809,79.9195776,4,4,4516.0 sqft,9.8 perches
75500000,6.8772464,79.9899292,4,4,4917.0 sqft,10.0 perches
51000000,6.8763201,79.9353613,3,5,3200.0 sqft,10.5 perches
15000000,6.8454697,79.9487546,1,3,1000.0 sqft,6.0 perches
12000000,6.9153349,79.9334985,2,3,1000.0 sqft,4.5 perches
42000000,6.7999509,79.9231171,4,4,3021.0 sqft,8.0 perches
77500000,6.8699688,79.8882835,2,3,4000.0 sqft,15.5 perches
58000000,6.8763201,79.9353613,2,4,3000.0 sqft,15.5 perches
160000000,6.8763201,79.9353613,4,4,7000.0 sqft,26.0 perches
38500000,6.8763201,79.9353613,2,4,2480.0 sqft,9.3 perches
56000000,6.8763201,79.9353613,2,3,1600.0 sqft,7.0 perches
180000000,6.8988999,79.8542039,5,8,5300.0 sqft,10.0 perches
50000000,6.9021809,79.9195776,3,3,1800.0 sqft,12.0 perches
38500000,6.9040723,79.9546189,3,4,2850.0 sqft,10.0 perches
39500000,6.8772464,79.9899292,3,4,3250.0 sqft,6.0 perches
22000000,6.8772464,79.9899292,2,3,1200.0 sqft,6.5 perches
53000000,6.9040723,79.9546189,5,5,4200.0 sqft,10.0 perches
28500000,6.9040723,79.9546189,2,3,2300.0 sqft,6.2 perches
27500000,6.8430139,79.9655312,3,3,1680.0 sqft,15.0 perches
120000000,6.9021809,79.9195776,5,5,4345.0 sqft,14.0 perches
27500000,6.8763201,79.9353613,2,3,1450.0 sqft,7.0 perches
585000000,6.8512785,79.8659769,4,8,4000.0 sqft,117.0 perches
35000000,6.7999509,79.9231171,2,4,1300.0 sqft,17.9 perches
45000000,6.8335379,79.8672498,3,3,2000.0 sqft,8.5 perches
68000000,6.8559735,79.8769039,3,4,2440.0 sqft,6.25 perches
59000000,6.9021809,79.9195776,4,5,3000.0 sqft,6.0 perches
85000000,6.9021809,79.9195776,4,7,3600.0 sqft,8.7 perches
160000000,6.9021809,79.9195776,4,4,4900.0 sqft,30.0 perches
22000000,6.8772464,79.9899292,1,3,1200.0 sqft,6.0 perches
47000000,6.8772464,79.9899292,4,4,3500.0 sqft,10.0 perches
38000000,6.9388614,79.8542005,2,3,6000.0 sqft,23.0 perches
47500000,6.935228,79.8911736,2,3,3000.0 sqft,10.8 perches
39500000,6.8430139,79.9655312,4,4,3580.0 sqft,10.5 perches
28500000,6.7999509,79.9231171,2,4,1403.0 sqft,6.5 perches
35000000,6.935228,79.8911736,2,5,1050.0 sqft,3.5 perches
17500000,6.9372438,79.8962142,2,2,1089.0 sqft,4.0 perches
